Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\XTRX\rev5\Altium_Proj\Project Outputs\Pick Place\Pick Place for XTRXr5(Var 3_3V_I).txt

========================================================================================================================
File Design Information:

Date:       29.04.19
Time:       21:30
Revision:   1fa29ee30f46513f9401cd992d1cc54bd914b894
Variant:    Var 3_3V_I
Units used: mm

Designator Description                   Comment                              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Height(mm) 
L33        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          38.9250      14.7250      360      0.5000     
L3         "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          19.0750      24.1250      360      0.5000     
L34        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          39.2000      18.2000      180      0.5000     
L42        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          32.7500      24.9000      90       0.5000     
C36        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 6.1250       18.2750      270      0.5000     
L13        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             16.6250      6.0500       360      1.0000     
L14        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             16.6250      2.4000       360      1.0000     
L15        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             8.6250       6.0500       180      1.0000     
L16        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             8.6250       1.4000       180      1.0000     
L17        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             27.2000      6.4750       360      1.0000     
L18        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             27.1750      1.9750       360      1.0000     
L19        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             19.4750      6.0250       90       1.0000     
L20        Coil                          0.47uH                               BottomLayer L-VLS201610HBX             19.4250      3.0250       90       1.0000     
R63        Resistor                      47k                                  BottomLayer R0402-Phillips             13.4500      5.8000       180      0.5000     
U16        "IC ideal diode switch"       MAX40200ANS+                         BottomLayer BGA_WLP4_(0.7x0.7/0.35)    6.3000       16.8750      270      0.6600     
U17        "IC ideal diode switch"       MAX40200ANS+                         BottomLayer BGA_WLP4_(0.7x0.7/0.35)    7.4000       16.8750      270      0.6600     
C218       Capacitor                     100pF                                BottomLayer C0402-CIRQ                 49.0000      7.4250       270      0.5000     
X12        "Connector FFC/FPC"           503480-0800                          BottomLayer MOLEX_503480-0800          8.3800       27.4750      360      1.0000     
R32        Resistor                      4k7                                  BottomLayer R0402-Phillips             22.7000      22.8250      270      0.5000     
U27        "IC ideal diode switch"       MAX40200ANS+                         TopLayer    BGA_WLP4_(0.7x0.7/0.35)    19.4500      21.1000      360      0.6600     
R83        Resistor                      100                                  TopLayer    R0402-Phillips             47.1000      12.0000      0        0.5000     
U15        "IC ideal diode switch"       MAX40200ANS+                         TopLayer    BGA_WLP4_(0.7x0.7/0.35)    6.3500       6.3500       180      0.6600     
R80        Resistor                      47                                   TopLayer    R0402-Phillips             4.5250       25.5750      90       0.5000     
L50        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          27.8000      10.6250      180      0.5000     
R66        Resistor                      3k3                                  TopLayer    R0402-Phillips             23.2500      6.5250       270      0.5000     
R62        Resistor                      3k3                                  TopLayer    R0402-Phillips             22.4500      6.5250       270      0.5000     
